Processed DateTime,Device Make,Aperture (f/_),ISO,Image Width,File Path,Filename,File Size,Focal Length (mm),Image DateTime,Device Model,Image Format,Image Mode,Megapixels,Image Height,Shutter Speed,Image Size
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 14:33:34 cartoon.jpg,2020-10-27 14:33:34 cartoon.jpg,3020592,3.039,2020-10-27 14:33:34,RP_imx219,JPEG,RGB,4.9,1920,0.000501,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:14:38 oilpaint.jpg,2020-10-27 11:14:38 oilpaint.jpg,3280391,3.039,2020-10-27 11:14:38,RP_imx219,JPEG,RGB,4.9,1920,0.00137,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:32:40 emboss.jpg,2020-10-27 11:32:40 emboss.jpg,3986568,3.039,2020-10-27 11:32:40,RP_imx219,JPEG,RGB,4.9,1920,0.001257,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 14:33:42 oilpaint.jpg,2020-10-27 14:33:42 oilpaint.jpg,3067282,3.039,2020-10-27 14:33:42,RP_imx219,JPEG,RGB,4.9,1920,0.00052,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:46:43 negative.jpg,2020-10-27 11:46:43 negative.jpg,3282378,3.039,2020-10-27 11:46:43,RP_imx219,JPEG,RGB,4.9,1920,0.000766,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-09 13:23:38 emboss.jpg,2020-10-09 13:23:38 emboss.jpg,3924737,3.039,2020-10-09 13:23:38,RP_imx219,JPEG,RGB,4.9,1920,0.00035,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:21:43 negative.jpg,2020-10-27 11:21:43 negative.jpg,3129397,3.039,2020-10-27 11:21:43,RP_imx219,JPEG,RGB,4.9,1920,0.001352,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:14:28 sketch.jpg,2020-10-27 11:14:28 sketch.jpg,6085945,3.039,2020-10-27 11:14:28,RP_imx219,JPEG,RGB,4.9,1920,0.001389,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:21:40 cartoon.jpg,2020-10-27 11:21:40 cartoon.jpg,2857681,3.039,2020-10-27 11:21:40,RP_imx219,JPEG,RGB,4.9,1920,0.001352,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 14:33:39 emboss.jpg,2020-10-27 14:33:39 emboss.jpg,3958252,3.039,2020-10-27 14:33:39,RP_imx219,JPEG,RGB,4.9,1920,0.000501,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 10:41:21 solarize.jpg,2020-10-09 10:41:21 solarize.jpg,798452,3.039,2020-10-09 10:41:21,RP_imx219,JPEG,RGB,1.2,960,0.001692,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 10:41:13 negative.jpg,2020-10-09 10:41:13 negative.jpg,792041,3.039,2020-10-09 10:41:13,RP_imx219,JPEG,RGB,1.2,960,0.001692,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,3280,/home/pi/picamera/output/cam.jpg,cam.jpg,4319040,3.039,2020-10-27 11:00:04,RP_imx219,JPEG,RGB,8.1,2464,0.002164,"(3280, 2464)"
